maintenance_id,box_id,rfid_tag,box_type,maintenance_type,start_date,end_date,maintenance_date,year_month,notes,cost,downtime_hours,cumulative_cost_per_box,maintenance_sequence,box_total_assignments,cost_per_assignment
MAINT-00048,BOX-00067,RFID-BOS-067,SMALL,CLEANING,2025-06-02 09:16:10,2025-06-02 11:16:10,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,10,0.25
MAINT-00035,BOX-00037,RFID-BOS-037,SMALL,CLEANING,2025-06-02 09:45:01,2025-06-02 11:45:01,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,97,0.0258
MAINT-00011,BOX-00049,RFID-BOS-049,SMALL,REPAIR,2025-06-02 09:45:01,2025-06-03 09:45:01,2025-06-02,2025-06,Post-return repair after 2 uses,34.78,24.0,34.78,1,8,4.3475
MAINT-00021,BOX-00010,RFID-BOS-010,SMALL,CLEANING,2025-06-02 10:26:11,2025-06-02 12:26:11,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,64,0.0391
MAINT-00007,BOX-00010,RFID-BOS-010,SMALL,REPAIR,2025-06-02 10:50:36,2025-06-03 10:50:36,2025-06-02,2025-06,Post-return repair after 2 uses,7.81,24.0,10.31,2,64,0.122
MAINT-00003,BOX-00055,RFID-BOS-055,SMALL,REPAIR,2025-06-02 11:54:25,2025-06-03 11:54:25,2025-06-02,2025-06,Post-return repair after 1 uses,30.74,24.0,30.74,1,88,0.3493
MAINT-00019,BOX-00006,RFID-BOS-006,SMALL,CLEANING,2025-06-02 13:07:20,2025-06-02 15:07:20,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,60,0.0417
MAINT-00016,BOX-00003,RFID-BOS-003,SMALL,CLEANING,2025-06-02 13:16:05,2025-06-02 15:16:05,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,34,0.0735
MAINT-00004,BOX-00016,RFID-BOS-016,MEDIUM,REPAIR,2025-06-02 13:31:34,2025-06-03 13:31:34,2025-06-02,2025-06,Post-return repair after 1 uses,9.79,24.0,9.79,1,3,3.2633
MAINT-00002,BOX-00035,RFID-BOS-035,SMALL,REPAIR,2025-06-02 14:21:17,2025-06-03 14:21:17,2025-06-02,2025-06,Post-return repair after 1 uses,42.77,24.0,42.77,1,66,0.648
MAINT-00038,BOX-00045,RFID-BOS-045,SMALL,CLEANING,2025-06-02 14:55:13,2025-06-02 16:55:13,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,69,0.0362
MAINT-00006,BOX-00006,RFID-BOS-006,SMALL,REPAIR,2025-06-02 15:02:54,2025-06-03 15:02:54,2025-06-02,2025-06,Post-return repair after 2 uses,8.76,24.0,11.26,2,60,0.146
MAINT-00036,BOX-00039,RFID-BOS-039,SMALL,CLEANING,2025-06-02 15:25:52,2025-06-02 17:25:52,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,71,0.0352
MAINT-00029,BOX-00028,RFID-BOS-028,SMALL,CLEANING,2025-06-02 15:36:55,2025-06-02 17:36:55,2025-06-02,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,14,0.1786
MAINT-00001,BOX-00003,RFID-BOS-003,SMALL,REPAIR,2025-06-02 16:11:50,2025-06-03 16:11:50,2025-06-02,2025-06,Post-return repair after 1 uses,41.38,24.0,43.88,2,34,1.2171
MAINT-00017,BOX-00004,RFID-BOS-004,SMALL,CLEANING,2025-06-03 09:38:36,2025-06-03 11:38:36,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,54,0.0463
MAINT-00045,BOX-00063,RFID-BOS-063,SMALL,CLEANING,2025-06-03 09:41:34,2025-06-03 11:41:34,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,103,0.0243
MAINT-00025,BOX-00020,RFID-BOS-020,SMALL,CLEANING,2025-06-03 09:42:46,2025-06-03 11:42:46,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,6,0.4167
MAINT-00018,BOX-00005,RFID-BOS-005,SMALL,CLEANING,2025-06-03 09:43:44,2025-06-03 11:43:44,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,35,0.0714
MAINT-00042,BOX-00058,RFID-BOS-058,SMALL,CLEANING,2025-06-03 09:48:40,2025-06-03 11:48:40,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,49,0.051
MAINT-00032,BOX-00033,RFID-BOS-033,SMALL,CLEANING,2025-06-03 10:04:47,2025-06-03 12:04:47,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,41,0.061
MAINT-00037,BOX-00042,RFID-BOS-042,SMALL,CLEANING,2025-06-03 10:33:29,2025-06-03 12:33:29,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,30,0.0833
MAINT-00046,BOX-00064,RFID-BOS-064,SMALL,CLEANING,2025-06-03 10:37:14,2025-06-03 12:37:14,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,33,0.0758
MAINT-00040,BOX-00053,RFID-BOS-053,SMALL,REPAIR,2025-06-03 10:42:14,2025-06-04 10:42:14,2025-06-03,2025-06,Post-return repair after 5 uses,8.67,24.0,8.67,1,26,0.3335
MAINT-00047,BOX-00065,RFID-BOS-065,SMALL,CLEANING,2025-06-03 10:42:57,2025-06-03 12:42:57,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,34,0.0735
MAINT-00044,BOX-00062,RFID-BOS-062,SMALL,CLEANING,2025-06-03 11:09:00,2025-06-03 13:09:00,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,7,0.3571
MAINT-00008,BOX-00020,RFID-BOS-020,SMALL,REPAIR,2025-06-03 11:10:28,2025-06-04 11:10:28,2025-06-03,2025-06,Post-return repair after 2 uses,6.64,24.0,9.14,2,6,1.1067
MAINT-00014,BOX-00016,RFID-BOS-016,MEDIUM,REPAIR,2025-06-03 11:32:18,2025-06-04 11:32:18,2025-06-03,2025-06,Post-return repair after 2 uses,32.41,24.0,42.2,2,3,10.8033
MAINT-00013,BOX-00011,RFID-BOS-011,SMALL,REPAIR,2025-06-03 11:54:19,2025-06-04 11:54:19,2025-06-03,2025-06,Post-return repair after 3 uses,17.56,24.0,17.56,1,31,0.5665
MAINT-00051,BOX-00075,RFID-BOS-075,SMALL,CLEANING,2025-06-03 11:56:20,2025-06-03 13:56:20,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,8,0.3125
MAINT-00052,BOX-00029,RFID-BOS-029,SMALL,REPAIR,2025-06-03 11:59:49,2025-06-04 11:59:49,2025-06-03,2025-06,Post-return repair after 6 uses,33.17,24.0,33.17,1,61,0.5438
MAINT-00031,BOX-00031,RFID-BOS-031,SMALL,CLEANING,2025-06-03 12:22:25,2025-06-03 14:22:25,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,32,0.0781
MAINT-00041,BOX-00055,RFID-BOS-055,SMALL,CLEANING,2025-06-03 13:09:31,2025-06-03 15:09:31,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,33.24,2,88,0.0284
MAINT-00039,BOX-00049,RFID-BOS-049,SMALL,CLEANING,2025-06-03 13:11:59,2025-06-03 15:11:59,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,37.28,2,8,0.3125
MAINT-00027,BOX-00023,RFID-BOS-023,SMALL,CLEANING,2025-06-03 13:13:09,2025-06-03 15:13:09,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,18,0.1389
MAINT-00043,BOX-00061,RFID-BOS-061,SMALL,CLEANING,2025-06-03 13:17:03,2025-06-03 15:17:03,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,44,0.0568
MAINT-00049,BOX-00068,RFID-BOS-068,SMALL,CLEANING,2025-06-03 13:28:30,2025-06-03 15:28:30,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,23,0.1087
MAINT-00022,BOX-00055,RFID-BOS-055,SMALL,REPAIR,2025-06-03 13:55:40,2025-06-04 13:55:40,2025-06-03,2025-06,Post-return repair after 4 uses,8.02,24.0,41.26,3,88,0.0911
MAINT-00009,BOX-00030,RFID-BOS-030,MEDIUM,REPAIR,2025-06-03 14:35:51,2025-06-04 14:35:51,2025-06-03,2025-06,Post-return repair after 1 uses,46.96,24.0,46.96,1,29,1.6193
MAINT-00033,BOX-00034,RFID-BOS-034,SMALL,CLEANING,2025-06-03 14:40:10,2025-06-03 16:40:10,2025-06-03,2025-06,Post-return cleaning after 5 uses,2.5,2.0,2.5,1,9,0.2778
