assignment_id,order_id,box_id,rfid_tag,box_type,box_capacity,sequence_number,subsequence,lifecycle_phase,sla_status,assigned_at,dispatched_at,delivered_at,picked_up_at,returned_at,return_condition,turnaround_hours,dispatch_lag_minutes,dwell_hours,days_since_assigned,is_returned,assignment_date
BA-20250601-001-0001,ORD-20250601-001,BOX-00003,RFID-BOS-003,SMALL,2,1,0001,COMPLETED,ON_TIME,2025-06-01 17:03:21,2025-06-01 17:41:53,2025-06-01 18:20:21,2025-06-02 13:41:50,2025-06-02 15:41:50,DAMAGED,22.64,38,19.35,296,True,2025-06-01
BA-20250601-002-0001,ORD-20250601-002,BOX-00004,RFID-BOS-004,SMALL,2,2,0001,COMPLETED,ON_TIME,2025-06-01 17:47:03,2025-06-01 18:06:57,2025-06-01 18:53:03,2025-06-02 11:23:51,2025-06-02 12:23:51,NEEDS_CLEANING,18.61,19,16.5,296,True,2025-06-01
BA-20250601-003-0001,ORD-20250601-003,BOX-00005,RFID-BOS-005,SMALL,2,3,0001,COMPLETED,ON_TIME,2025-06-01 18:02:52,2025-06-01 18:42:20,2025-06-01 19:11:52,2025-06-01 09:54:45,2025-06-01 10:54:45,GOOD,-7.14,40,-9.28,296,True,2025-06-01
BA-20250601-004-0001,ORD-20250601-004,BOX-00007,RFID-BOS-007,MEDIUM,4,4,0001,COMPLETED,ON_TIME,2025-06-01 17:13:54,2025-06-01 17:29:48,2025-06-01 18:02:54,2025-06-02 08:22:48,2025-06-02 11:22:48,GOOD,18.15,16,14.33,296,True,2025-06-01
BA-20250601-005-0001,ORD-20250601-005,BOX-00006,RFID-BOS-006,SMALL,2,5,0001,COMPLETED,LATE,2025-06-01 07:18:45,2025-06-01 07:44:02,2025-06-01 08:09:45,2025-06-02 08:30:18,2025-06-02 09:30:18,GOOD,26.19,26,24.35,296,True,2025-06-01
BA-20250601-006-0001,ORD-20250601-006,BOX-00008,RFID-BOS-008,SMALL,2,6,0001,COMPLETED,ON_TIME,2025-06-01 17:31:22,2025-06-01 17:42:27,2025-06-01 18:27:22,2025-06-02 09:37:27,2025-06-02 11:37:27,GOOD,18.1,11,15.17,296,True,2025-06-01
BA-20250601-007-0001,ORD-20250601-007,BOX-00010,RFID-BOS-010,SMALL,2,7,0001,COMPLETED,ON_TIME,2025-06-01 15:36:00,2025-06-01 15:57:22,2025-06-01 16:18:00,2025-06-02 10:32:14,2025-06-02 13:32:14,GOOD,21.94,21,18.23,296,True,2025-06-01
BA-20250601-008-0001,ORD-20250601-008,BOX-00011,RFID-BOS-011,SMALL,2,8,0001,COMPLETED,ON_TIME,2025-06-01 18:28:25,2025-06-01 18:58:32,2025-06-01 19:18:25,2025-06-02 09:33:53,2025-06-02 12:33:53,GOOD,18.09,30,14.25,296,True,2025-06-01
BA-20250601-009-0001,ORD-20250601-009,BOX-00020,RFID-BOS-020,SMALL,2,9,0001,COMPLETED,LATE,2025-06-01 08:06:13,2025-06-01 08:13:01,2025-06-01 09:14:13,2025-06-02 09:05:07,2025-06-02 12:05:07,GOOD,27.98,7,23.85,296,True,2025-06-01
BA-20250601-010-0001,ORD-20250601-010,BOX-00022,RFID-BOS-022,SMALL,2,10,0001,COMPLETED,ON_TIME,2025-06-01 15:26:44,2025-06-01 16:04:48,2025-06-01 16:29:44,2025-06-02 10:19:54,2025-06-02 11:19:54,GOOD,19.89,38,17.83,296,True,2025-06-01
BA-20250601-011-0001,ORD-20250601-011,BOX-00023,RFID-BOS-023,SMALL,2,11,0001,COMPLETED,ON_TIME,2025-06-01 11:39:43,2025-06-01 12:17:09,2025-06-01 13:02:43,2025-06-01 11:46:17,2025-06-01 12:46:17,GOOD,1.11,38,-1.27,296,True,2025-06-01
BA-20250601-012-0001,ORD-20250601-012,BOX-00024,RFID-BOS-024,SMALL,2,12,0001,COMPLETED,ON_TIME,2025-06-01 17:17:17,2025-06-01 17:52:09,2025-06-01 18:44:17,2025-06-01 09:40:05,2025-06-01 11:40:05,NEEDS_CLEANING,-5.62,35,-9.07,296,True,2025-06-01
BA-20250601-013-0001,ORD-20250601-013,BOX-00028,RFID-BOS-028,SMALL,2,13,0001,COMPLETED,ON_TIME,2025-06-01 18:57:06,2025-06-01 19:12:42,2025-06-01 20:01:06,2025-06-02 12:38:06,2025-06-02 14:38:06,GOOD,19.68,15,16.62,296,True,2025-06-01
BA-20250601-014-0001,ORD-20250601-014,BOX-00029,RFID-BOS-029,SMALL,2,14,0001,COMPLETED,LATE,2025-06-01 09:54:47,2025-06-01 10:08:34,2025-06-01 10:44:47,2025-06-02 09:15:43,2025-06-02 11:15:43,GOOD,25.35,14,22.52,296,True,2025-06-01
BA-20250601-015-0001,ORD-20250601-015,BOX-00031,RFID-BOS-031,SMALL,2,15,0001,COMPLETED,LATE,2025-06-01 12:13:05,2025-06-01 12:37:16,2025-06-01 13:28:05,2025-06-02 12:04:46,2025-06-02 13:04:46,NEEDS_CLEANING,24.86,24,22.6,296,True,2025-06-01
BA-20250601-016-0001,ORD-20250601-016,BOX-00033,RFID-BOS-033,SMALL,2,16,0001,COMPLETED,ON_TIME,2025-06-01 17:08:53,2025-06-01 17:52:28,2025-06-01 18:13:53,2025-06-02 10:47:42,2025-06-02 13:47:42,GOOD,20.65,44,16.57,296,True,2025-06-01
BA-20250601-017-0001,ORD-20250601-017,BOX-00034,RFID-BOS-034,SMALL,2,17,0001,COMPLETED,LATE,2025-06-01 12:28:27,2025-06-01 12:46:10,2025-06-01 13:16:27,2025-06-03 09:53:34,2025-06-03 10:53:34,GOOD,46.42,18,44.62,296,True,2025-06-01
BA-20250601-018-0001,ORD-20250601-018,BOX-00013,RFID-BOS-013,MEDIUM,4,18,0001,COMPLETED,LATE,2025-06-01 06:24:39,2025-06-01 06:40:39,2025-06-01 07:21:39,2025-06-02 12:46:11,2025-06-02 13:46:11,GOOD,31.36,16,29.42,296,True,2025-06-01
BA-20250601-019-0001,ORD-20250601-019,BOX-00035,RFID-BOS-035,SMALL,2,19,0001,COMPLETED,ON_TIME,2025-06-01 16:36:30,2025-06-01 16:57:24,2025-06-01 17:50:30,2025-06-02 10:51:17,2025-06-02 13:51:17,DAMAGED,21.25,21,17.02,296,True,2025-06-01
BA-20250601-020-0001,ORD-20250601-020,BOX-00037,RFID-BOS-037,SMALL,2,20,0001,COMPLETED,LATE,2025-06-01 11:30:30,2025-06-01 11:46:33,2025-06-01 12:32:30,2025-06-02 09:45:08,2025-06-02 11:45:08,GOOD,24.24,16,21.22,296,True,2025-06-01
BA-20250601-021-0001,ORD-20250601-021,BOX-00039,RFID-BOS-039,SMALL,2,21,0001,COMPLETED,OVERDUE,2025-06-01 12:49:00,2025-06-01 13:03:54,2025-06-01 13:18:00,2025-06-05 11:27:30,2025-06-05 12:27:30,GOOD,95.64,14,94.15,296,True,2025-06-01
BA-20250601-022-0001,ORD-20250601-022,BOX-00042,RFID-BOS-042,SMALL,2,22,0001,COMPLETED,ON_TIME,2025-06-01 18:05:52,2025-06-01 18:20:35,2025-06-01 19:00:52,2025-06-01 10:46:32,2025-06-01 13:46:32,GOOD,-4.32,15,-8.23,296,True,2025-06-01
BA-20250601-023-0001,ORD-20250601-023,BOX-00044,RFID-BOS-044,SMALL,2,23,0001,COMPLETED,LATE,2025-06-01 11:57:14,2025-06-01 12:21:19,2025-06-01 13:19:14,2025-06-02 12:03:19,2025-06-02 14:03:19,GOOD,26.1,24,22.73,296,True,2025-06-01
BA-20250601-024-0001,ORD-20250601-024,BOX-00045,RFID-BOS-045,SMALL,2,24,0001,COMPLETED,ON_TIME,2025-06-01 19:42:21,2025-06-01 19:57:48,2025-06-01 20:26:21,2025-06-02 11:55:08,2025-06-02 13:55:08,GOOD,18.21,15,15.48,296,True,2025-06-01
