delivery_id,order_id,driver_id,address_id,delivery_zone,delivery_status,scheduled_time,actual_departure,actual_delivery,delivery_duration_min,failure_reason,is_on_time,minutes_vs_schedule,zone_sla_minutes,met_zone_sla,delivery_date
DEL-20250601-001,ORD-20250601-001,DRV-00012,ADDR-00192,ZONE-B,DELIVERED,2025-06-01 17:40:21,2025-06-01 17:40:21,2025-06-01 18:20:21,40,,False,40,43,True,2025-06-01
DEL-20250601-002,ORD-20250601-002,DRV-00007,ADDR-00260,ZONE-B,DELIVERED,2025-06-01 18:06:03,2025-06-01 18:06:03,2025-06-01 18:53:03,47,,False,47,43,False,2025-06-01
DEL-20250601-003,ORD-20250601-003,DRV-00009,ADDR-00173,ZONE-B,DELIVERED,2025-06-01 18:40:52,2025-06-01 18:40:52,2025-06-01 19:11:52,31,,False,31,43,True,2025-06-01
DEL-20250601-004,ORD-20250601-004,DRV-00006,ADDR-00085,ZONE-D,DELIVERED,2025-06-01 17:28:54,2025-06-01 17:28:54,2025-06-01 18:02:54,34,,False,34,67,True,2025-06-01
DEL-20250601-005,ORD-20250601-005,DRV-00010,ADDR-00014,ZONE-A,DELIVERED,2025-06-01 07:43:45,2025-06-01 07:43:45,2025-06-01 08:09:45,26,,False,26,30,True,2025-06-01
DEL-20250601-006,ORD-20250601-006,DRV-00002,ADDR-00129,ZONE-B,DELIVERED,2025-06-01 17:41:22,2025-06-01 17:41:22,2025-06-01 18:27:22,46,,False,46,43,False,2025-06-01
DEL-20250601-007,ORD-20250601-007,DRV-00008,ADDR-00462,ZONE-A,DELIVERED,2025-06-01 15:56:00,2025-06-01 15:56:00,2025-06-01 16:18:00,22,,False,22,30,True,2025-06-01
DEL-20250601-008,ORD-20250601-008,DRV-00013,ADDR-00007,ZONE-A,DELIVERED,2025-06-01 18:57:25,2025-06-01 18:57:25,2025-06-01 19:18:25,21,,False,21,30,True,2025-06-01
DEL-20250601-009,ORD-20250601-009,DRV-00005,ADDR-00038,ZONE-C,DELIVERED,2025-06-01 08:11:13,2025-06-01 08:11:13,2025-06-01 09:14:13,63,,False,63,55,False,2025-06-01
DEL-20250601-010,ORD-20250601-010,DRV-00004,ADDR-00454,ZONE-B,DELIVERED,2025-06-01 16:04:44,2025-06-01 16:04:44,2025-06-01 16:29:44,25,,False,25,43,True,2025-06-01
DEL-20250601-011,ORD-20250601-011,DRV-00009,ADDR-00106,ZONE-C,DELIVERED,2025-06-01 12:16:43,2025-06-01 12:16:43,2025-06-01 13:02:43,46,,False,46,55,True,2025-06-01
DEL-20250601-012,ORD-20250601-012,DRV-00009,ADDR-00015,ZONE-D,DELIVERED,2025-06-01 17:51:17,2025-06-01 17:51:17,2025-06-01 18:44:17,53,,False,53,67,True,2025-06-01
DEL-20250601-013,ORD-20250601-013,DRV-00014,ADDR-00162,ZONE-D,DELIVERED,2025-06-01 19:12:06,2025-06-01 19:12:06,2025-06-01 20:01:06,49,,False,49,67,True,2025-06-01
DEL-20250601-014,ORD-20250601-014,DRV-00011,ADDR-00407,ZONE-B,DELIVERED,2025-06-01 10:07:47,2025-06-01 10:07:47,2025-06-01 10:44:47,37,,False,37,43,True,2025-06-01
DEL-20250601-015,ORD-20250601-015,DRV-00014,ADDR-00152,ZONE-C,DELIVERED,2025-06-01 12:37:05,2025-06-01 12:37:05,2025-06-01 13:28:05,51,,False,51,55,True,2025-06-01
DEL-20250601-016,ORD-20250601-016,DRV-00009,ADDR-00017,ZONE-A,DELIVERED,2025-06-01 17:50:53,2025-06-01 17:50:53,2025-06-01 18:13:53,23,,False,23,30,True,2025-06-01
DEL-20250601-017,ORD-20250601-017,DRV-00002,ADDR-00099,ZONE-B,DELIVERED,2025-06-01 12:45:27,2025-06-01 12:45:27,2025-06-01 13:16:27,31,,False,31,43,True,2025-06-01
