order_id,customer_id,address_id,order_date,order_timestamp,order_hour,order_status,order_amount,distinct_items,total_quantity,boxes_used,ctt_max_subsequence,is_multi_box_order,payment_status,payment_method,payment_amount,overall_rating,food_rating,delivery_rating,box_condition_rating,has_feedback
ORD-20250601-001,CUST-01323,ADDR-00192,2025-06-01,2025-06-01 16:41:21,16,DELIVERED,19.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,19.97,4,3,3,3,True
ORD-20250601-002,CUST-01848,ADDR-00260,2025-06-01,2025-06-01 17:19:03,17,DELIVERED,24.48,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,24.48,4,4,3,5,True
ORD-20250601-003,CUST-00356,ADDR-00173,2025-06-01,2025-06-01 17:51:52,17,DELIVERED,30.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,30.97,4,4,3,5,True
ORD-20250601-006,CUST-00890,ADDR-00129,2025-06-01,2025-06-01 17:06:22,17,DELIVERED,30.46,4,4.0,1,1,False,SUCCESS,SUBSCRIPTION,30.46,4,4,5,5,True
ORD-20250601-007,CUST-01933,ADDR-00462,2025-06-01,2025-06-01 15:23:00,15,DELIVERED,29.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,29.98,3,4,2,3,True
ORD-20250601-009,CUST-00438,ADDR-00038,2025-06-01,2025-06-01 07:36:13,7,DELIVERED,13.49,1,1.0,1,1,False,SUCCESS,WALLET,13.49,3,3,2,4,True
ORD-20250601-010,CUST-00346,ADDR-00454,2025-06-01,2025-06-01 15:13:44,15,DELIVERED,26.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,26.98,3,2,4,4,True
ORD-20250601-012,CUST-01272,ADDR-00015,2025-06-01,2025-06-01 17:04:17,17,DELIVERED,15.47,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,15.47,3,2,3,2,True
ORD-20250601-013,CUST-01952,ADDR-00162,2025-06-01,2025-06-01 18:31:06,18,DELIVERED,16.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,16.49,4,5,5,5,True
ORD-20250601-015,CUST-01249,ADDR-00152,2025-06-01,2025-06-01 11:54:05,11,DELIVERED,19.97,3,3.0,1,1,False,SUCCESS,SUBSCRIPTION,19.97,5,5,4,5,True
ORD-20250601-017,CUST-00409,ADDR-00099,2025-06-01,2025-06-01 12:03:27,12,DELIVERED,11.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,11.49,3,2,4,4,True
ORD-20250601-019,CUST-00375,ADDR-00410,2025-06-01,2025-06-01 16:14:30,16,DELIVERED,15.49,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,15.49,4,4,3,4,True
ORD-20250601-022,CUST-00452,ADDR-00081,2025-06-01,2025-06-01 17:42:52,17,DELIVERED,15.99,1,1.0,1,1,False,SUCCESS,SUBSCRIPTION,15.99,3,3,2,3,True
ORD-20250601-023,CUST-01066,ADDR-00411,2025-06-01,2025-06-01 11:40:14,11,DELIVERED,26.98,2,2.0,1,1,False,SUCCESS,SUBSCRIPTION,26.98,4,3,3,3,True
ORD-20250601-024,CUST-01640,ADDR-00280,2025-06-01,2025-06-01 19:23:21,19,DELIVERED,17.97,3,3.0,1,1,False,SUCCESS,WALLET,17.97,4,5,4,3,True
