driver_id,delivery_date,delivery_zone,deliveries_count,successful,failed,avg_duration_min,sla_pct,on_time_count,pickups_attempted,pickups_completed,total_stops,pickup_success_pct,year_month
DRV-00001,2025-06-01,ZONE-B,3,3.0,0.0,31.0,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00001,2025-06-01,ZONE-D,1,1.0,0.0,59.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00001,2025-06-01,ZONE-A,1,1.0,0.0,31.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00002,2025-06-01,ZONE-C,1,1.0,0.0,51.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00002,2025-06-01,ZONE-D,1,1.0,0.0,62.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00002,2025-06-01,ZONE-B,4,4.0,0.0,39.25,75.0,0.0,0,0.0,4.0,,2025-06
DRV-00003,2025-06-01,ZONE-A,1,1.0,0.0,17.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00003,2025-06-01,ZONE-D,1,1.0,0.0,74.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00003,2025-06-01,ZONE-B,1,1.0,0.0,28.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00003,2025-06-01,ZONE-C,1,1.0,0.0,46.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00004,2025-06-01,ZONE-B,1,1.0,0.0,25.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00004,2025-06-01,ZONE-C,2,2.0,0.0,35.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00004,2025-06-01,ZONE-D,1,1.0,0.0,101.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00005,2025-06-01,ZONE-D,2,2.0,0.0,49.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00005,2025-06-01,ZONE-C,1,1.0,0.0,63.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00006,2025-06-01,ZONE-C,1,1.0,0.0,46.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00006,2025-06-01,ZONE-A,2,2.0,0.0,17.0,100.0,1.0,0,0.0,2.0,,2025-06
DRV-00006,2025-06-01,ZONE-D,1,1.0,0.0,34.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00007,2025-06-01,ZONE-A,3,3.0,0.0,25.0,66.7,0.0,0,0.0,3.0,,2025-06
DRV-00007,2025-06-01,ZONE-B,1,1.0,0.0,47.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00007,2025-06-01,ZONE-C,2,2.0,0.0,46.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00008,2025-06-01,ZONE-C,1,1.0,0.0,59.0,0.0,0.0,0,0.0,1.0,,2025-06
DRV-00008,2025-06-01,ZONE-D,1,1.0,0.0,53.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00008,2025-06-01,ZONE-A,5,5.0,0.0,21.8,100.0,0.0,0,0.0,5.0,,2025-06
DRV-00009,2025-06-01,ZONE-D,2,2.0,0.0,55.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00009,2025-06-01,ZONE-A,4,4.0,0.0,26.25,100.0,0.0,0,0.0,4.0,,2025-06
DRV-00009,2025-06-01,ZONE-B,3,3.0,0.0,38.0,66.7,0.0,0,0.0,3.0,,2025-06
DRV-00009,2025-06-01,ZONE-C,1,1.0,0.0,46.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00010,2025-06-01,ZONE-B,1,1.0,0.0,37.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00010,2025-06-01,ZONE-A,3,3.0,0.0,30.0,66.7,0.0,0,0.0,3.0,,2025-06
DRV-00010,2025-06-01,ZONE-D,1,1.0,0.0,66.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00010,2025-06-01,ZONE-C,1,1.0,0.0,42.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00011,2025-06-01,ZONE-C,1,1.0,0.0,32.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00011,2025-06-01,ZONE-B,3,3.0,0.0,29.333333333333332,100.0,1.0,1,1.0,4.0,100.0,2025-06
DRV-00011,2025-06-01,ZONE-D,3,3.0,0.0,54.666666666666664,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00011,2025-06-01,ZONE-A,2,2.0,0.0,24.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00012,2025-06-01,ZONE-D,2,2.0,0.0,50.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00012,2025-06-01,ZONE-B,3,3.0,0.0,34.0,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00013,2025-06-01,ZONE-A,2,2.0,0.0,23.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00013,2025-06-01,ZONE-C,1,1.0,0.0,42.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00013,2025-06-01,ZONE-D,1,1.0,0.0,45.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00014,2025-06-01,ZONE-C,2,2.0,0.0,39.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00014,2025-06-01,ZONE-D,3,3.0,0.0,52.666666666666664,100.0,0.0,0,0.0,3.0,,2025-06
DRV-00014,2025-06-01,ZONE-A,2,2.0,0.0,21.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00014,2025-06-01,ZONE-B,1,1.0,0.0,33.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00015,2025-06-01,ZONE-C,2,2.0,0.0,43.5,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00015,2025-06-01,ZONE-D,1,1.0,0.0,52.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00015,2025-06-01,ZONE-A,1,1.0,0.0,23.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00015,2025-06-01,ZONE-B,2,2.0,0.0,30.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00001,2025-06-02,ZONE-C,1,1.0,0.0,48.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00001,2025-06-02,ZONE-D,2,2.0,0.0,48.0,100.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00001,2025-06-02,ZONE-A,5,5.0,0.0,25.4,100.0,0.0,5,5.0,10.0,100.0,2025-06
DRV-00001,2025-06-02,ZONE-B,4,4.0,0.0,39.75,100.0,0.0,0,0.0,4.0,,2025-06
DRV-00002,2025-06-02,ZONE-C,2,2.0,0.0,59.0,0.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00002,2025-06-02,ZONE-A,5,5.0,0.0,22.4,100.0,0.0,2,2.0,7.0,100.0,2025-06
DRV-00002,2025-06-02,ZONE-D,3,3.0,0.0,63.0,66.7,0.0,1,1.0,4.0,100.0,2025-06
DRV-00003,2025-06-02,ZONE-B,3,3.0,0.0,41.0,66.7,0.0,2,2.0,5.0,100.0,2025-06
DRV-00003,2025-06-02,ZONE-D,1,1.0,0.0,48.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00003,2025-06-02,ZONE-A,2,2.0,0.0,32.0,0.0,0.0,1,1.0,3.0,100.0,2025-06
DRV-00003,2025-06-02,ZONE-C,3,3.0,0.0,52.666666666666664,66.7,0.0,1,1.0,4.0,100.0,2025-06
DRV-00004,2025-06-02,ZONE-B,1,1.0,0.0,35.0,100.0,0.0,1,1.0,2.0,100.0,2025-06
DRV-00004,2025-06-02,ZONE-A,3,3.0,0.0,24.0,66.7,0.0,0,0.0,3.0,,2025-06
DRV-00004,2025-06-02,ZONE-D,2,2.0,0.0,44.0,100.0,0.0,0,0.0,2.0,,2025-06
DRV-00004,2025-06-02,ZONE-C,3,3.0,0.0,44.0,100.0,0.0,2,2.0,5.0,100.0,2025-06
DRV-00005,2025-06-02,ZONE-B,4,4.0,0.0,37.25,75.0,0.0,1,1.0,5.0,100.0,2025-06
DRV-00005,2025-06-02,ZONE-A,2,2.0,0.0,31.0,50.0,0.0,2,2.0,4.0,100.0,2025-06
DRV-00005,2025-06-02,ZONE-D,1,1.0,0.0,56.0,100.0,0.0,2,2.0,3.0,100.0,2025-06
DRV-00005,2025-06-02,ZONE-C,1,1.0,0.0,34.0,100.0,0.0,0,0.0,1.0,,2025-06
DRV-00006,2025-06-02,ZONE-D,2,2.0,0.0,43.5,100.0,0.0,2,2.0,4.0,100.0,2025-06
