assignment_id,box_id,rfid_tag,box_type,order_id,delivery_zone,assignment_date,turnaround_hours,dwell_hours,dispatch_lag_minutes,sla_status,return_condition,is_returned,days_since_assigned,turnaround_bucket,year_month
BA-20250601-001-0001,BOX-00003,RFID-BOS-003,SMALL,ORD-20250601-001,ZONE-B,2025-06-01,22.64,19.35,38,ON_TIME,DAMAGED,True,296,12-24h,2025-06
BA-20250601-002-0001,BOX-00004,RFID-BOS-004,SMALL,ORD-20250601-002,ZONE-B,2025-06-01,18.61,16.5,19,ON_TIME,NEEDS_CLEANING,True,296,12-24h,2025-06
BA-20250601-003-0001,BOX-00005,RFID-BOS-005,SMALL,ORD-20250601-003,ZONE-B,2025-06-01,-7.14,-9.28,40,ON_TIME,GOOD,True,296,0-12h,2025-06
BA-20250601-006-0001,BOX-00008,RFID-BOS-008,SMALL,ORD-20250601-006,ZONE-B,2025-06-01,18.1,15.17,11,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-007-0001,BOX-00010,RFID-BOS-010,SMALL,ORD-20250601-007,ZONE-A,2025-06-01,21.94,18.23,21,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-009-0001,BOX-00020,RFID-BOS-020,SMALL,ORD-20250601-009,ZONE-C,2025-06-01,27.98,23.85,7,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-010-0001,BOX-00022,RFID-BOS-022,SMALL,ORD-20250601-010,ZONE-B,2025-06-01,19.89,17.83,38,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-012-0001,BOX-00024,RFID-BOS-024,SMALL,ORD-20250601-012,ZONE-D,2025-06-01,-5.62,-9.07,35,ON_TIME,NEEDS_CLEANING,True,296,0-12h,2025-06
BA-20250601-013-0001,BOX-00028,RFID-BOS-028,SMALL,ORD-20250601-013,ZONE-D,2025-06-01,19.68,16.62,15,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-015-0001,BOX-00031,RFID-BOS-031,SMALL,ORD-20250601-015,ZONE-C,2025-06-01,24.86,22.6,24,LATE,NEEDS_CLEANING,True,296,24-48h,2025-06
BA-20250601-017-0001,BOX-00034,RFID-BOS-034,SMALL,ORD-20250601-017,ZONE-B,2025-06-01,46.42,44.62,18,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-019-0001,BOX-00035,RFID-BOS-035,SMALL,ORD-20250601-019,ZONE-C,2025-06-01,21.25,17.02,21,ON_TIME,DAMAGED,True,296,12-24h,2025-06
BA-20250601-022-0001,BOX-00042,RFID-BOS-042,SMALL,ORD-20250601-022,ZONE-C,2025-06-01,-4.32,-8.23,15,ON_TIME,GOOD,True,296,0-12h,2025-06
BA-20250601-023-0001,BOX-00044,RFID-BOS-044,SMALL,ORD-20250601-023,ZONE-D,2025-06-01,26.1,22.73,24,LATE,GOOD,True,296,24-48h,2025-06
BA-20250601-024-0001,BOX-00045,RFID-BOS-045,SMALL,ORD-20250601-024,ZONE-B,2025-06-01,18.21,15.48,15,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-026-0001,BOX-00053,RFID-BOS-053,SMALL,ORD-20250601-026,ZONE-A,2025-06-01,16.61,13.03,16,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-027-0001,BOX-00055,RFID-BOS-055,SMALL,ORD-20250601-027,ZONE-D,2025-06-01,19.28,16.93,24,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-028-0001,BOX-00058,RFID-BOS-058,SMALL,ORD-20250601-028,ZONE-B,2025-06-01,72.04,70.45,12,OVERDUE,GOOD,True,296,72h+,2025-06
BA-20250601-031-0001,BOX-00062,RFID-BOS-062,SMALL,ORD-20250601-031,ZONE-C,2025-06-01,69.28,67.48,23,LATE,GOOD,True,296,48-72h,2025-06
BA-20250601-033-0001,BOX-00064,RFID-BOS-064,SMALL,ORD-20250601-033,ZONE-A,2025-06-01,5.45,3.58,33,ON_TIME,GOOD,True,296,0-12h,2025-06
BA-20250601-034-0001,BOX-00019,RFID-BOS-019,MEDIUM,ORD-20250601-034,ZONE-A,2025-06-01,19.91,15.95,40,ON_TIME,GOOD,True,296,12-24h,2025-06
BA-20250601-036-0001,BOX-00067,RFID-BOS-067,SMALL,ORD-20250601-036,ZONE-C,2025-06-01,-3.24,-7.35,23,ON_TIME,GOOD,True,296,0-12h,2025-06
